Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030493,Guildford 009B,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030495,Guildford 009C,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030498,Guildford 009D,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030424,Guildford 010A,E05007286,Ash South and Tongham,Guildford,,,,,,,,,,,,
E01030431,Guildford 010B,E05007288,Ash Wharf,Guildford,,,,,,,,,,,,
E01030432,Guildford 010C,E05007288,Ash Wharf,Guildford,,,,,,,,,,,,
E01030433,Guildford 010D,E05007288,Ash Wharf,Guildford,,,,,,,,,,,,
E01030436,Guildford 011A,E05007289,Burpham,Guildford,,,,,,,,,,,,
E01030437,Guildford 011B,E05007290,Christchurch,Guildford,,,,,,,,,,,,
E01030439,Guildford 011C,E05007290,Christchurch,Guildford,,,,,,,,,,,,
E01030460,Guildford 011D,E05007296,Merrow,Guildford,,,,,,,,,,,,
E01030461,Guildford 011E,E05007296,Merrow,Guildford,,,,,,,,,,,,
E01030470,Guildford 012A,E05007298,Onslow,Guildford,,,,,,,,,,,,
E01030494,Guildford 012B,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030496,Guildford 012C,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030497,Guildford 012D,E05007306,Westborough,Guildford,,,,,,,,,,,,
E01030438,Guildford 013A,E05007290,Christchurch,Guildford,,,,,,,,,,,,
E01030450,Guildford 013B,E05007293,Friary and St Nicolas,Guildford,,,,,,,,,,,,
E01030451,Guildford 013C,E05007293,Friary and St Nicolas,Guildford,,,,,,,,,,,,
E01030453,Guildford 013D,E05007294,Holy Trinity,Guildford,,,,,,,,,,,,
E01030455,Guildford 013E,E05007294,Holy Trinity,Guildford,,,,,,,,,,,,
E01030457,Guildford 013F,E05007294,Holy Trinity,Guildford,,,,,,,,,,,,
E01030421,Guildford 014A,E05007286,Ash South and Tongham,Guildford,,,,,,,,,,,,
E01030422,Guildford 014B,E05007286,Ash South and Tongham,Guildford,,,,,,,,,,,,
E01030423,Guildford 014C,E05007286,Ash South and Tongham,Guildford,,,,,,,,,,,,
E01030425,Guildford 014D,E05007286,Ash South and Tongham,Guildford,,,,,,,,,,,,
E01030452,Guildford 015A,E05007293,Friary and St Nicolas,Guildford,,,,,,,,,,,,
E01030467,Guildford 015B,E05007298,Onslow,Guildford,,,,,,,,,,,,
E01030468,Guildford 015C,E05007298,Onslow,Guildford,,,,,,,,,,,,
E01030469,Guildford 015D,E05007298,Onslow,Guildford,,,,,,,,,,,,
E01030448,Guildford 016A,E05007293,Friary and St Nicolas,Guildford,,,,,,,,,,,,
E01030449,Guildford 016B,E05007293,Friary and St Nicolas,Guildford,,,,,,,,,,,,
E01030454,Guildford 016C,E05007294,Holy Trinity,Guildford,,,,,,,,,,,,
E01030456,Guildford 016D,E05007294,Holy Trinity,Guildford,,,,,,,,,,,,
E01030471,Guildford 017A,E05007299,Pilgrims,Guildford,,,,,,,,,,,,
E01030472,Guildford 017B,E05007299,Pilgrims,Guildford,,,,,,,,,,,,
E01030478,Guildford 017C,E05007302,Shalford,Guildford,,,,,,,,,,,,
E01030479,Guildford 017D,E05007302,Shalford,Guildford,,,,,,,,,,,,
E01030480,Guildford 017E,E05007302,Shalford,Guildford,,,,,,,,,,,,
E01030490,Guildford 018A,E05007305,Tillingbourne,Guildford,,,,,,,,,,,,
E01030491,Guildford 018B,E05007305,Tillingbourne,Guildford,,,,,,,,,,,,
E01030492,Guildford 018C,E05007305,Tillingbourne,Guildford,,,,,,,,,,,,
E01030506,Mole Valley 001A,E05007308,Ashtead Common,Mole Valley,,,,,,,,,,,,
E01030508,Mole Valley 001B,E05007309,Ashtead Park,Mole Valley,,,,,,,,,,,,
E01030509,Mole Valley 001C,E05007309,Ashtead Park,Mole Valley,,,,,,,,,,,,
E01030513,Mole Valley 001D,E05007310,Ashtead Village,Mole Valley,,,,,,,,,,,,
E01030514,Mole Valley 001E,E05007310,Ashtead Village,Mole Valley,,,,,,,,,,,,
E01030505,Mole Valley 002A,E05007308,Ashtead Common,Mole Valley,,,,,,,,,,,,
E01030507,Mole Valley 002B,E05007308,Ashtead Common,Mole Valley,,,,,,,,,,,,
E01030511,Mole Valley 002C,E05007310,Ashtead Village,Mole Valley,,,,,,,,,,,,
E01030512,Mole Valley 002D,E05007310,Ashtead Village,Mole Valley,,,,,,,,,,,,
E01030548,Mole Valley 003A,E05007323,Leatherhead North,Mole Valley,,,,,,,,,,,,
E01030549,Mole Valley 003B,E05007323,Leatherhead North,Mole Valley,,,,,,,,,,,,
E01030550,Mole Valley 003C,E05007323,Leatherhead North,Mole Valley,,,,,,,,,,,,
E01030551,Mole Valley 003D,E05007323,Leatherhead North,Mole Valley,,,,,,,,,,,,
E01030510,Mole Valley 004A,E05007309,Ashtead Park,Mole Valley,,,,,,,,,,,,
E01030552,Mole Valley 004B,E05007324,Leatherhead South,Mole Valley,,,,,,,,,,,,
E01030553,Mole Valley 004C,E05007324,Leatherhead South,Mole Valley,,,,,,,,,,,,
E01030554,Mole Valley 004D,E05007324,Leatherhead South,Mole Valley,,,,,,,,,,,,
